Firstname;Lastname;Firstlastfunny;ct;Improper;Resolution;Explanation;Author;Comment
Kurt;Zeitgedächtnis;true;yes;;Kurzzeitgedächtnis;;Nik;
Gus;Enhauer;true;yes;;Gassenhauer;;Nik;
Sue;Perman;true;yes;;;;Nik; 
Leif;Übertragung;true;yes;;;;Nik; 
Klara;Fall;true;yes;;;;Nik; 
Mike;Äfer;true;yes;;Maikäfer;;Nik; 
Moni;Toring;true;yes;;;;Nik; 
Ingo;Knito;true;yes;;;;; 
Roy;Madecke;true;yes;;;;; 
Lore;Mipsum;true;yes;;Lorem Ipsum;Lorem Ipsum wird als Fülltext for Textverarbeitung, DTP und Webdesign benutzt.;; 
Steve;Mütterchen;true;yes;;;;; 
